N,U/L,Avg_Frac_1,Avg_Frac_2
7,4.5,0.8738999999999999,0.1261
7,4.6,0.853,0.147
7,4.7,0.8765999999999999,0.1234
7,4.8,0.8337,0.1663
7,4.9,0.8929,0.10709999999999999
7,5.0,0.9418000000000001,0.058199999999999995
7,5.1,0.8944000000000001,0.1056
7,5.2,0.9322,0.0678
7,5.3,0.8998,0.1002
7,5.4,0.9325,0.0675
7,5.5,0.9328,0.06719999999999998
7,5.6,0.9157,0.0843
7,5.7,0.9198999999999999,0.0801
7,5.8,0.8837999999999999,0.11620000000000003
7,5.9,0.9383999999999999,0.0616
7,6.0,0.8966999999999998,0.10330000000000002
7,6.1,0.9136,0.08639999999999999
7,6.2,0.8894,0.11059999999999999
7,6.3,0.9325999999999999,0.0674
7,6.4,0.9342999999999999,0.0657
7,6.5,0.9433,0.0567
7,6.6,0.8996999999999999,0.1003
7,6.7,0.8482999999999999,0.1517
7,6.8,0.9433,0.0567
7,6.9,0.9207,0.0793
7,7.0,0.8945000000000001,0.10550000000000001
7,7.1,0.9062,0.09380000000000001
7,7.2,0.9359999999999999,0.064
7,7.3,0.9568000000000001,0.0432
7,7.4,0.9593,0.0407
7,7.5,0.9492999999999999,0.0507
7,7.6,0.9761,0.0239
7,7.7,0.9679999999999999,0.032
7,7.8,0.9405,0.059500000000000004
7,7.9,0.9595,0.04050000000000001
7,8.0,0.9534999999999999,0.04649999999999999
7,8.1,0.9312,0.06880000000000001
7,8.2,0.9334000000000002,0.0666
7,8.3,0.9343,0.06570000000000001
7,8.4,0.9763999999999998,0.023600000000000003
7,8.5,0.9431,0.05689999999999999
7,8.6,0.8889999999999999,0.111
7,8.7,0.9494999999999999,0.050499999999999996
7,8.8,0.9915999999999999,0.0084
7,8.9,0.9712,0.0288
7,9.0,0.9686,0.031400000000000004
7,9.1,0.9912000000000001,0.0088
7,9.2,0.9301999999999999,0.0698
7,9.3,0.9574000000000001,0.0426
7,9.4,0.988,0.012
7,9.5,0.9637,0.0363
7,9.6,0.9581000000000001,0.04189999999999999
7,9.7,0.9236,0.0764
7,9.8,0.9775,0.0225
7,9.9,0.9709,0.0291
7,10.0,0.9566,0.0434
8,0.1,0.0,1.0
8,0.2,0.0,1.0
8,0.3,0.0,1.0
8,0.4,0.0,1.0
8,0.5,0.0,1.0
8,0.6,0.0,1.0
8,0.7,0.0,1.0
8,0.8,0.0,1.0
8,0.9,0.0,1.0
8,1.0,0.07080000000000002,0.9292
8,1.1,0.11689999999999999,0.8830999999999999
8,1.2,0.1042,0.8957999999999999
8,1.3,0.25420000000000004,0.7458
8,1.4,0.15689999999999998,0.8430999999999998
